issue_id,issue_type,affected_fields,affected_rules,severity,status,blocking_scope,blocking_reason,issue_origin,integration_transition,issue_count
COVALENT_ATOM_PAIR_ENCODING_UNRESOLVED,implementation_semantics_gap,covalent_bond_atom_pair,,blocking,open,admission_evaluator_rule_logic,COVALENT_ATOM_PAIR_ENCODING_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1
COVALENT_EVIDENCE_ENUM_UNRESOLVED,implementation_semantics_gap,covalent_event_evidence_source,ADMIT_006|ADMIT_007,blocking,open,admission_evaluator_rule_logic,COVALENT_EVIDENCE_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1
DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED,implementation_semantics_gap,observed_content_length_bytes|observed_http_status|observed_sha256,ADMIT_012|ADMIT_013,blocking,open,admission_evaluator_rule_logic,DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1
DOWNLOAD_RESULT_STATUS_ENUM_UNRESOLVED,implementation_semantics_gap,download_result_status,ADMIT_012|ADMIT_013,blocking,open,admission_evaluator_rule_logic,DOWNLOAD_RESULT_STATUS_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1
DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,implementation_semantics_gap,duplicate_identity_key,ADMIT_009,blocking,open,admission_evaluator_rule_logic,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1
LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,implementation_semantics_gap,leakage_group_id,ADMIT_010,blocking,open,admission_evaluator_rule_logic,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1
RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1
TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,implementation_semantics_gap,topology_restoration_disposition,ADMIT_008,blocking,open,admission_evaluator_rule_logic,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1
REAL_PROVIDER_EXPORT_BLOCKING_ROWS_PRESENT,provider_export,covalent_residue_insertion_code_state|covalent_residue_insertion_code,ADMIT_004,blocking,open,admission_evaluator_rule_logic,REAL_PROVIDER_EXPORT_BLOCKING_ROWS_PRESENT,covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1,unchanged_open,11
UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,implementation_semantics_gap,,ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,blocking,open,unified_admission_engine,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1,admit_005_implemented_and_removed_from_open_coverage_scope,1
UNIFIED_ADMISSION_CROSS_RULE_AGGREGATION_SEMANTICS_UNRESOLVED,implementation_semantics_gap,,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,blocking,open,unified_admission_engine,UNIFIED_ADMISSION_CROSS_RULE_AGGREGATION_SEMANTICS_UNRESOLVED,covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1,new_open,1
