precondition_id,semantic_area,required_contract,observed_contract,source_evidence,verified,blocker_id,design_disposition,audit_passed
PRE_001,rule_identity,ADMIT_010 identity and name,ADMIT_010 leakage_group_assignment_before_split,Exact32 committed source boundary,true,,retain interface names only,true
PRE_002,evaluation_phase,evaluation occurs before final split,pre_final_split,Exact32 committed source boundary,true,,retain phase,true
PRE_003,candidate_dependency,single candidate field identity,leakage_group_id,Exact32 committed source boundary,true,,retain candidate field name,true
PRE_004,context_dependency,caller-supplied provenance policy context,leakage_group_assignment_provenance_contract,Exact32 committed source boundary,true,,design context contract next,true
PRE_005,historical_success_failure_vocabulary,success and failure vocabulary,leakage_group_assigned / leakage_group_unassigned,Exact32 committed source boundary,true,,retain historical vocabulary,true
PRE_006,current_primary_blocker,blocking issue identity and open state,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,Exact32 committed source boundary,true,,preserve issue unchanged_open,true
PRE_007,field_occurrence_coverage,fixed-boundary occurrence audit,all fixed Exact32 committed sources searched,Exact32 committed source boundary,true,,retain inventory,true
PRE_008,observed_value_coverage,derived-only deterministic value audit,"assignment, group inventory, split, and final membership values inventoried",Exact32 committed source boundary,true,,do not promote sample values to grammar,true
PRE_009,final_vs_provisional_group_distinction,candidate/final field distinction,canonical leakage_group_id differs by name and contract from historical final_leakage_group_id; mapping unverified,Exact32 committed source boundary,false,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,design explicit mapping semantics,true
PRE_010,assignment_provenance_availability,"assignment identity, source membership and policy evidence",historical Step14AP evidence available for current 11-sample smoke only,Exact32 committed source boundary,true,,"use as design evidence, not provider contract",true
PRE_011,assignment_policy_version_availability,formal policy and version fields,assignment_policy value embeds suffix v1; no standalone policy_version field or frozen provenance contract,Exact32 committed source boundary,false,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,freeze explicit policy/version representation,true
PRE_012,membership_evidence,sample and group membership evidence,assignment rows plus five group inventories with member_sample_index_row_ids,Exact32 committed source boundary,true,,retain membership requirements,true
PRE_013,pre_split_ordering_evidence,group assignment precedes split,Step14AQ declares Step14AP as previous/source stage and consumes its SHA-frozen assignment,Exact32 committed source boundary,true,,require caller provenance without split lookup,true
PRE_014,standalone_pure_memory_feasibility,no evaluator filesystem/network access,caller provides candidate scalar and provenance context; canonical context contract sets both accesses false,Exact32 committed source boundary,true,,keep evaluator pure memory,true
PRE_015,result_schema_precedent,prior formal evaluator result precedent,Exact9 runtime provides result-schema precedent; Admit010EvaluationResult remains absent,Exact32 committed source boundary,true,,design result later,true
PRE_016,issue_transition_policy,audit does not resolve predecessor issues,Exact9 issue inventory copied byte-identically,Exact32 committed source boundary,true,,no transition,true
PRE_017,provider_mapping_status,canonical provider-to-candidate mapping,no verified leakage_group_id provider mapping and no formal final_leakage_group_id mapping,Exact32 committed source boundary,false,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,preserve provider boundary,true
PRE_018,real_evaluation_status,real candidate evaluation,not performed,Exact32 committed source boundary,false,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,prohibit evaluation in audit,true
PRE_019,adapter_runtime_boundary,"adapter, registration and Exact10 runtime",not designed or implemented; Exact9 remains unchanged,Exact32 committed source boundary,true,,defer until evaluator contract exists,true
PRE_020,admit_011_boundary,ADMIT_011 work,not started,Exact32 committed source boundary,true,,remain out of scope,true
PRE_021,training_boundary,training readiness prerequisite,feature-semantics audit still required; Step12D was smoke legality only,Exact32 committed source boundary,true,,training remains forbidden,true
