label_blocker_item,source_or_evidence,observed_status,current_tensorization_status,blocks_actual_tensor_dataloader_smoke,blocks_training,label_blocker_audit_passed,qa_comment
mask_task_name_string_selector_ok_for_metadata,mask_task_name,metadata_selector_available,metadata_only_not_tensorized,False,False,True,label tensorization blocker explicitly recorded
mask_boolean_tensor_blocked_until_group_labels,group label materialization,not_materialized,blocked,True,True,True,label tensorization blocker explicitly recorded
scaffold_linker_warhead_labels_not_materialized,final dataset smoke status,not_materialized,blocked,True,True,True,label tensorization blocker explicitly recorded
warhead_type_label_not_materialized,auxiliary label audit,not_materialized,blocked,True,True,True,label tensorization blocker explicitly recorded
covalent_atom_pair_label_not_training_final,covalent_bond_atom_pair,metadata_only_not_training_final,blocked,True,True,True,label tensorization blocker explicitly recorded
covalent_bond_distance_metadata_only,covalent_bond_distance_angstrom,metadata_only,metadata_only_not_tensorized,True,True,True,label tensorization blocker explicitly recorded
pre_covalent_geometry_label_not_materialized,geometry label audit,not_materialized,blocked,True,True,True,label tensorization blocker explicitly recorded
post_covalent_geometry_label_not_training_final,geometry label audit,not_training_final,blocked,True,True,True,label tensorization blocker explicitly recorded
auxiliary_loss_labels_not_ready,auxiliary label audit,not_ready,blocked,True,True,True,label tensorization blocker explicitly recorded
batch_collate_for_labels_blocked,batch/collate design,blocked,blocked,True,True,True,label tensorization blocker explicitly recorded
loss_integration_blocked,loss integration gate,blocked,blocked,True,True,True,label tensorization blocker explicitly recorded
training_targets_blocked,training target semantics,blocked,blocked,True,True,True,label tensorization blocker explicitly recorded
