allowlist_column,external_db_field_candidates,pdb_annotation_field_candidates,covapie_rule_to_fill,validation_rule_before_materialization,mapping_contract_passed
candidate_id,,,assign stable CovaPIE candidate id after evidence row is reviewed,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
source_dataset_name,"source_name,database_name,dataset_name",,copy from configured source registry slot,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
source_dataset_version,"source_version,release,download_date",,copy from configured source registry metadata,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
source_file_relative_path,,"local_path,file_relative_path","set after local raw download, not before","validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
pdb_id,"pdb_id,pdb_accession,structure_id",pdb_id,normalize to uppercase four-character PDB accession when applicable,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
ligand_id,"ligand_id,ligand_code,het_id,component_id","label_comp_id,auth_comp_id,het_id",map ligand component or instance id after source evidence review,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
chain_id,"chain_id,asym_id,auth_asym_id","auth_asym_id,label_asym_id",map protein chain containing reactive residue,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
residue_name,"residue_name,resname","auth_comp_id,label_comp_id",require CYS in current phase,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
residue_index,"residue_index,auth_seq_id,label_seq_id","auth_seq_id,label_seq_id",preserve source numbering evidence,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
residue_atom_name,"residue_atom_name,protein_atom,reactive_atom","atom_id,auth_atom_id,label_atom_id",require SG in current phase,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
covalent_bond_atom_pair,"ligand_atom,protein_atom,bond_pair,link_record,covalent_link","struct_conn,link_record,covalent_link",store explicit ligand atom plus protein atom pair,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
restoration_policy_id,,,assign only after known CYS/SG restoration policy is selected,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
manual_review_status,"manual_review_status,curation_status",,set reviewed_pass or approved_for_smoke only after evidence review,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
include_in_smoke,,,derive from manual review status and 10-30 smoke selection policy,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
exclusion_reason,"exclusion_reason,curation_note",,record explicit reason for every excluded row,"validate field presence, event identity key, CYS/SG scope, and manual review before materialization",True
